1,,,,,2,,,,
SCreen_Name,Name,Location,IMage LInk,Followers,Screen_Name,Name ,Location,IMage LInk,Followers
NRIcat,Farzana Qureshi����,Dubai,http://pbs.twimg.com/profile_images/1017472069796151298/1UbEhX6f_normal.jpg,1107,amitmalviya,Amit Malviya,"Prayagraj, Delhi, Bengaluru",http://pbs.twimg.com/profile_images/961548262326112256/8UDm16Lf_normal.jpg,228922
tufailelif,Tufail Ahmad,"New Delhi, India",http://pbs.twimg.com/profile_images/515188577102098432/S8jcMl5W_normal.jpeg,77307,JhaSanjay,Sanjay Jha,Mumbai.India,http://pbs.twimg.com/profile_images/928456017121124352/LQP2ZhDH_normal.jpg,344561
ProudPinto79,Proud Pakstani ��,karachi,http://pbs.twimg.com/profile_images/1036291742490914816/3VQjbUZC_normal.jpg,1275,KhawajaMAsif,Khawaja M. Asif,Sialkot,http://pbs.twimg.com/profile_images/1050437179598692352/eI8MF1u0_normal.jpg,1435265
Xuuf,,,,,HardeepSPuri,Hardeep Singh Puri,"New Delhi, India",http://pbs.twimg.com/profile_images/972745178984349696/tmpKR0X3_normal.jpg,36985
Xtt,,,,,chetan_bhagat,Chetan Bhagat,Mumbai,http://pbs.twimg.com/profile_images/1029242665705992192/nQqnqCUG_normal.jpg,12299633
X67352,,,,,haroon_natamam,ہارون الرشید,"Islamabad, Pakistan",http://pbs.twimg.com/profile_images/930818634083196928/-xhxUudW_normal.jpg,169738
X9,,,,,ShireenMazari1,Shireen Mazari,Islamabad,http://pbs.twimg.com/profile_images/546232758763552768/uaKQHMmn_normal.jpeg,1269949
ndu2,,,,,rajeev_mp,Rajeev Chandrasekhar,"Bengaluru, Karnataka",http://pbs.twimg.com/profile_images/984447525510791169/37pcmYGV_normal.jpg,227127
nmmn,,,,,SMQureshiPTI,Shah Mahmood Qureshi,Pakistan,http://pbs.twimg.com/profile_images/1055417240387022849/kIABczGC_normal.jpg,1923746
uhu,,,,,sagarikaghose,Sagarika Ghose,New Delhi,http://pbs.twimg.com/profile_images/970237430786920448/S6tfBSyR_normal.jpg,3939432
kj,,,,,MichaelKugelman,Michael Kugelman,Washington DC,http://pbs.twimg.com/profile_images/783989377542348800/nMGcJR79_normal.jpg,52758
klw,,,,,qari_,پاک فوج,‏سوشل میڈیا فورس,http://pbs.twimg.com/profile_images/1011553632465145857/t_jtpKk1_normal.jpg,49509
